                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                  1.111,                 0.6057,                 1.0619,                0.97134,                0.92795,                0.96028,                0.67038,                 1.1018,                0.56965,                 1.0661,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.1256,                0.60782,                 1.0786,                0.95213,                0.92422,                0.95652,                0.67767,                  1.036,                0.56495,                 1.0459,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.0717,                0.57843,                 1.0529,                0.96769,                0.93007,                0.95885,                 0.6723,                 1.0635,                 0.5499,                 1.0581,               0.001307,               0.001307,               0.001307
                     38,                  1.072,                0.59033,                 1.0736,                0.97874,                 0.9149,                0.95407,                0.69291,                0.98938,                0.56679,                 1.0264,              0.0012872,              0.0012872,              0.0012872
                     39,                 1.0636,                0.57613,                  1.031,                0.97895,                0.92417,                0.95774,                0.67461,                 1.0439,                 0.5524,                   1.04,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.0899,                0.57983,                 1.0432,                0.96492,                0.92269,                 0.9568,                0.69489,                 0.9798,                0.52745,                 1.0184,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.0636,                0.56213,                 1.0527,                0.97411,                0.93485,                0.95942,                 0.7159,                0.94151,                0.50764,                 1.0043,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.0187,                0.55036,                 1.0236,                0.97531,                0.91925,                 0.9592,                0.69347,                0.97371,                0.51976,                 1.0191,               0.001208,               0.001208,               0.001208
                     43,                 1.0628,                0.55666,                 1.0255,                0.95065,                0.93322,                0.95757,                0.69675,                0.94794,                0.52159,                 1.0058,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.0685,                0.56266,                 1.0477,                 0.9763,                0.93043,                0.95967,                0.70312,                0.96726,                0.52359,                 1.0067,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.0551,                0.53662,                 1.0243,                 0.9764,                 0.9354,                0.96323,                0.71508,                0.95534,                0.48991,                 1.0033,              0.0011486,              0.0011486,              0.0011486
                     46,                0.99716,                0.53558,                 1.0228,                0.96874,                0.92379,                0.95821,                0.68503,                0.98725,                0.52431,                  1.016,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.0539,                0.55338,                 1.0468,                0.97523,                0.92913,                0.96038,                0.71753,                0.94482,                0.50706,                0.99737,               0.001109,               0.001109,               0.001109
                     48,                  1.047,                0.54018,                 1.0357,                0.98538,                0.92298,                0.96072,                0.71138,                0.94712,                0.50893,                0.99892,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.0412,                0.53939,                 1.0431,                0.98733,                0.91925,                0.96094,                0.67114,                 1.0791,                0.52219,                 1.0467,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.0288,                0.54001,                 1.0276,                 0.9764,                0.92498,                0.96278,                0.71037,                0.93394,                  0.491,                0.99837,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.0231,                0.53084,                 1.0205,                0.98659,                0.91419,                0.96022,                 0.7129,                0.92111,                0.48824,                0.98996,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.0429,                0.55495,                 1.0297,                0.98169,                0.93239,                0.96539,                0.71705,                0.93276,                0.49263,                0.99384,                0.00101,                0.00101,                0.00101
                     53,                 1.0312,                  0.538,                 1.0233,                0.98679,                0.92824,                0.96367,                0.70405,                0.96096,                0.49038,                 1.0004,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.0186,                0.52203,                 1.0167,                0.98642,                0.93292,                0.96393,                0.72255,                0.90956,                0.46823,                0.98379,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.0069,                0.52636,                 1.0099,                0.98644,                0.92795,                0.96434,                0.72298,                0.92392,                0.47702,                0.98647,              0.0009506,              0.0009506,              0.0009506
                     56,                 0.9696,                0.50098,                0.99098,                0.98286,                0.92577,                0.96243,                0.70727,                0.93943,                0.48976,                0.99299,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.0052,                0.52258,                 1.0276,                0.96858,                0.92298,                0.96389,                0.69321,                 1.0019,                0.52339,                 1.0133,               0.000911,               0.000911,               0.000911
                     58,                   1.01,                0.52697,                 1.0038,                0.98814,                0.93135,                 0.9672,                0.70095,                0.94211,                0.47675,                0.99352,              0.0008912,              0.0008912,              0.0008912
                     59,                 0.9667,                0.51783,                0.99962,                0.96623,                0.93416,                0.96566,                0.73152,                0.91459,                0.49582,                0.98568,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.0227,                0.52316,                 1.0166,                0.98935,                0.92288,                0.97313,                0.71692,                0.92935,                0.48103,                0.98436,              0.0008516,              0.0008516,              0.0008516
                     61,                0.98691,                0.51552,                 1.0161,                 0.9838,                0.91677,                0.96487,                0.71283,                0.92748,                0.47854,                0.98466,              0.0008318,              0.0008318,              0.0008318
                     62,                0.99236,                0.50605,                 1.0079,                0.97367,                0.93789,                0.97519,                0.73025,                0.91749,                0.46807,                0.97903,               0.000812,               0.000812,               0.000812
                     63,                0.95579,                0.49376,                 0.9925,                0.96803,                0.94037,                0.96871,                0.73083,                 0.8933,                0.45253,                0.96962,              0.0007922,              0.0007922,              0.0007922
                     64,                0.96803,                0.49037,                 1.0008,                0.98279,                0.92243,                0.96764,                0.71322,                0.92499,                0.46982,                0.98004,              0.0007724,              0.0007724,              0.0007724
                     65,                0.96749,                0.49439,                0.98681,                0.98439,                0.92547,                0.97001,                0.73091,                0.90099,                0.45538,                0.97115,              0.0007526,              0.0007526,              0.0007526
                     66,                0.96974,                0.49284,                0.98721,                 0.9807,                0.91801,                0.96939,                0.72545,                0.92388,                0.46102,                0.98454,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.0017,                0.50711,                 1.0007,                0.98724,                0.93416,                0.97602,                0.73361,                0.89126,                 0.4596,                0.97334,               0.000713,               0.000713,               0.000713
                     68,                0.98927,                0.50133,                 1.0044,                0.99312,                0.92671,                0.97355,                0.72983,                0.90334,                0.45562,                0.97455,              0.0006932,              0.0006932,              0.0006932
                     69,                0.96055,                0.48234,                0.97194,                0.97861,                0.93292,                0.96989,                0.74065,                0.88139,                0.44713,                0.96705,              0.0006734,              0.0006734,              0.0006734
                     70,                0.94982,                0.48404,                0.98339,                0.98308,                0.93844,                0.97777,                0.71929,                0.94018,                0.47116,                0.97779,              0.0006536,              0.0006536,              0.0006536
                     71,                0.96424,                0.49627,                 1.0024,                0.97577,                0.93665,                0.97688,                0.73883,                0.87433,                0.44852,                0.96359,              0.0006338,              0.0006338,              0.0006338
                     72,                0.94643,                0.47728,                0.97078,                0.98571,                0.93789,                0.97475,                0.74199,                0.87403,                0.42843,                0.96182,               0.000614,               0.000614,               0.000614
                     73,                0.92686,                0.46814,                0.98573,                0.98242,                0.93913,                0.97693,                0.75063,                0.86379,                0.43654,                0.95843,              0.0005942,              0.0005942,              0.0005942
                     74,                0.94069,                0.48317,                 1.0043,                0.98048,                0.93586,                0.97631,                0.73795,                0.86859,                0.44001,                0.95876,              0.0005744,              0.0005744,              0.0005744
                     75,                0.93261,                0.47194,                 0.9952,                0.98696,                0.93292,                0.97465,                0.74862,                0.86243,                0.43491,                0.95664,              0.0005546,              0.0005546,              0.0005546
                     76,                0.95516,                0.46399,                0.98195,                0.96948,                0.94689,                0.97044,                0.73151,                0.85489,                0.43269,                0.95255,              0.0005348,              0.0005348,              0.0005348
                     77,                0.97894,                 0.4808,                 1.0028,                0.98311,                0.93973,                0.97234,                0.75159,                 0.8513,                0.42845,                0.95353,               0.000515,               0.000515,               0.000515
                     78,                0.95819,                0.47816,                0.99843,                0.98414,                0.92507,                0.96905,                0.73686,                0.87836,                0.43353,                0.96036,              0.0004952,              0.0004952,              0.0004952
                     79,                0.95716,                 0.4676,                0.97843,                0.98952,                0.93842,                0.97304,                 0.7513,                0.85243,                0.41793,                0.95207,              0.0004754,              0.0004754,              0.0004754
                     80,                0.94835,                0.46279,                0.98132,                0.99213,                0.93947,                0.97204,                 0.7607,                0.84283,                0.41722,                0.94907,              0.0004556,              0.0004556,              0.0004556
                     81,                0.89588,                0.44479,                0.96771,                0.99732,                0.92489,                0.97137,                0.75759,                0.83194,                0.42228,                0.94996,              0.0004358,              0.0004358,              0.0004358
                     82,                0.92465,                 0.4537,                0.97667,                 0.9806,                0.94184,                0.97538,                0.76133,                0.84691,                0.42047,                0.95593,               0.000416,               0.000416,               0.000416
                     83,                0.91468,                0.45975,                0.99215,                0.98682,                0.94534,                0.97745,                0.75173,                0.86165,                0.41787,                0.95552,              0.0003962,              0.0003962,              0.0003962
                     84,                0.93385,                0.45681,                0.95923,                0.99552,                0.93416,                0.97855,                0.76109,                0.83637,                0.40703,                0.94528,              0.0003764,              0.0003764,              0.0003764
                     85,                0.91249,                0.45036,                0.99067,                0.97326,                0.94534,                0.97744,                0.75087,                0.86158,                0.42644,                0.95229,              0.0003566,              0.0003566,              0.0003566
                     86,                0.95749,                0.47747,                0.98925,                0.98065,                0.94419,                 0.9726,                0.76094,                0.82185,                0.41209,                 0.9398,              0.0003368,              0.0003368,              0.0003368
                     87,                0.91706,                 0.4635,                0.98308,                0.98704,                0.94621,                0.97946,                0.75566,                0.83173,                0.41384,                0.94177,               0.000317,               0.000317,               0.000317
                     88,                0.90223,                0.45634,                0.96731,                0.98553,                0.93073,                 0.9722,                0.75676,                0.82181,                0.40756,                0.93756,              0.0002972,              0.0002972,              0.0002972
                     89,                0.91525,                0.45554,                0.98551,                0.98315,                0.94211,                0.97208,                0.75971,                0.82003,                 0.4077,                0.93797,              0.0002774,              0.0002774,              0.0002774
                     90,                0.92633,                0.44902,                0.97083,                0.98432,                0.94907,                0.97855,                 0.7652,                0.81634,                0.39831,                0.93586,              0.0002576,              0.0002576,              0.0002576
                     91,                0.87199,                0.45787,                0.96811,                0.99505,                0.93168,                0.97607,                0.75623,                0.83403,                  0.422,                 0.9391,              0.0002378,              0.0002378,              0.0002378
                     92,                0.86121,                 0.4429,                0.96122,                0.98821,                0.93678,                0.97749,                0.76681,                0.82579,                  0.411,                0.93692,               0.000218,               0.000218,               0.000218
                     93,                0.87923,                0.43856,                0.97856,                0.98494,                0.94037,                0.97137,                0.75813,                0.82252,                0.40957,                0.93638,              0.0001982,              0.0001982,              0.0001982
                     94,                0.87331,                 0.4351,                 0.9576,                0.99299,                0.94161,                 0.9782,                 0.7637,                0.81135,                0.40099,                0.93174,              0.0001784,              0.0001784,              0.0001784
                     95,                0.87399,                0.43834,                 1.0035,                0.99083,                0.93939,                0.97813,                0.77116,                0.80344,                0.39627,                 0.9266,              0.0001586,              0.0001586,              0.0001586
                     96,                0.86391,                0.42913,                0.98037,                0.99081,                0.93797,                0.97437,                0.77273,                0.79732,                0.39609,                0.92559,              0.0001388,              0.0001388,              0.0001388
                     97,                0.84974,                0.42259,                0.95262,                0.98863,                0.94161,                0.97646,                0.76946,                0.80315,                 0.3988,                0.92842,               0.000119,               0.000119,               0.000119
                     98,                0.84313,                0.41297,                0.96437,                0.98709,                0.94972,                0.97814,                0.77055,                0.80228,                0.39383,                 0.9284,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.84639,                0.41621,                0.95995,                0.98831,                0.94556,                0.97885,                0.77569,                0.79378,                0.39335,                0.92496,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.84065,                0.42063,                0.95506,                0.99213,                0.93917,                 0.9788,                0.77597,                0.79364,                0.39253,                0.92449,               5.96e-05,               5.96e-05,               5.96e-05
