                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1056,                0.65904,                 1.0643,                0.95319,                 0.8709,                0.93044,                0.65457,                 1.0194,                0.62929,                 1.0414,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.1201,                0.68666,                 1.0772,                0.95634,                0.87309,                0.92943,                0.66239,                 1.0272,                 0.5976,                 1.0513,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.0704,                0.65475,                 1.0567,                0.95854,                0.87873,                 0.9347,                0.66603,                 1.0155,                0.61188,                 1.0463,              0.0010894,              0.0010894,              0.0010894
                     38,                 1.0833,                0.66483,                 1.0808,                0.97129,                0.86476,                0.92865,                0.67989,                0.96071,                0.60398,                 1.0195,              0.0010729,              0.0010729,              0.0010729
                     39,                  1.085,                0.65712,                 1.0418,                0.95938,                0.88263,                0.93057,                0.65497,                 1.0169,                0.62848,                 1.0337,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.1074,                0.65458,                 1.0521,                 0.9399,                0.88196,                0.93288,                0.65069,                 1.0477,                0.60604,                 1.0453,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.0857,                0.65297,                  1.066,                0.95688,                0.89883,                0.93786,                0.68258,                0.96379,                0.57519,                 1.0152,              0.0010234,              0.0010234,              0.0010234
                     42,                 1.0386,                0.61482,                 1.0313,                0.95924,                0.88393,                0.93951,                0.66044,                 1.0133,                0.59545,                 1.0369,              0.0010069,              0.0010069,              0.0010069
                     43,                 1.1068,                0.63578,                  1.039,                0.95809,                 0.8837,                0.94026,                0.66582,                 1.0001,                0.58533,                 1.0311,             0.00099036,             0.00099036,             0.00099036
                     44,                  1.055,                 0.6361,                 1.0498,                0.94655,                 0.9079,                0.94322,                0.68819,                0.96281,                0.54055,                 1.0171,             0.00097386,             0.00097386,             0.00097386
                     45,                 1.0497,                0.60506,                 1.0281,                0.95475,                0.90475,                0.94175,                0.68865,                0.96384,                0.55223,                 1.0124,             0.00095736,             0.00095736,             0.00095736
                     46,                 1.0287,                0.61313,                 1.0374,                0.97289,                 0.8684,                0.93573,                0.67772,                0.97172,                0.58209,                 1.0127,             0.00094085,             0.00094085,             0.00094085
                     47,                 1.0676,                0.61853,                 1.0595,                0.96593,                0.89476,                0.94548,                 0.6946,                0.93682,                0.55147,                 1.0027,             0.00092435,             0.00092435,             0.00092435
                     48,                 1.0592,                0.61725,                 1.0509,                0.92716,                0.90081,                0.93466,                0.67684,                0.97284,                0.62867,                 1.0082,             0.00090785,             0.00090785,             0.00090785
                     49,                  1.042,                0.61515,                 1.0508,                0.94181,                0.91144,                0.94314,                0.67146,                 1.0162,                 0.5598,                 1.0267,             0.00089134,             0.00089134,             0.00089134
                     50,                 1.0451,                0.60168,                 1.0366,                0.96934,                  0.894,                0.94672,                0.69369,                0.96494,                0.54115,                 1.0114,             0.00087484,             0.00087484,             0.00087484
                     51,                 1.0544,                 0.5895,                 1.0332,                0.97579,                0.88389,                0.94927,                 0.6972,                0.96019,                0.53652,                 1.0099,             0.00085834,             0.00085834,             0.00085834
                     52,                 1.0846,                0.61245,                 1.0468,                0.96736,                0.89363,                0.94423,                0.68024,                0.99305,                0.54294,                 1.0134,             0.00084184,             0.00084184,             0.00084184
                     53,                 1.0729,                0.61312,                 1.0349,                0.98091,                0.89536,                0.94465,                0.70395,                0.95256,                 0.5292,                0.99695,             0.00082533,             0.00082533,             0.00082533
                     54,                 1.0517,                0.58309,                 1.0304,                0.95605,                0.91188,                0.94899,                0.70567,                0.91256,                0.51009,                0.98953,             0.00080883,             0.00080883,             0.00080883
                     55,                 1.0159,                0.57096,                 1.0155,                0.95703,                0.91145,                0.94505,                0.70007,                0.92795,                0.51966,                0.99261,             0.00079233,             0.00079233,             0.00079233
                     56,                0.98935,                0.56971,                 1.0026,                0.95034,                0.92247,                0.94747,                 0.6919,                0.94713,                0.53316,                 1.0006,             0.00077582,             0.00077582,             0.00077582
                     57,                 1.0041,                0.57152,                 1.0265,                 0.9558,                 0.9225,                0.95297,                0.70692,                0.93053,                0.51644,                0.99464,             0.00075932,             0.00075932,             0.00075932
                     58,                 1.0108,                0.58337,                  1.011,                0.98474,                 0.9108,                0.95341,                0.70787,                0.92733,                0.50908,                0.99201,             0.00074282,             0.00074282,             0.00074282
                     59,                0.97838,                0.57714,                 1.0097,                0.97083,                0.91813,                0.95283,                0.70396,                0.91039,                0.50381,                0.98613,             0.00072631,             0.00072631,             0.00072631
                     60,                 1.0223,                0.56511,                  1.024,                0.95812,                0.90027,                0.94994,                0.71815,                0.90281,                0.50481,                0.98306,             0.00070981,             0.00070981,             0.00070981
                     61,                 1.0113,                0.56617,                 1.0257,                0.96272,                0.91762,                0.95545,                0.71026,                0.93353,                0.51072,                0.98935,             0.00069331,             0.00069331,             0.00069331
                     62,                 1.0183,                0.56485,                 1.0123,                 0.9546,                0.90807,                0.95335,                0.69795,                0.96425,                0.52406,                0.99931,              0.0006768,              0.0006768,              0.0006768
                     63,                0.98532,                0.56574,                 1.0067,                0.96362,                0.91694,                0.95639,                0.70775,                0.92611,                0.49284,                0.98201,              0.0006603,              0.0006603,              0.0006603
                     64,                0.99177,                0.54742,                 1.0119,                0.97623,                0.89151,                0.95202,                0.70348,                0.94335,                0.50234,                0.99422,              0.0006438,              0.0006438,              0.0006438
                     65,                0.98033,                0.53234,                0.99295,                0.96557,                0.90999,                0.95229,                0.69949,                 0.9497,                0.49601,                 0.9882,             0.00062729,             0.00062729,             0.00062729
                     66,                0.99441,                 0.5398,                0.99983,                0.96244,                0.91629,                0.95436,                0.71081,                0.93035,                0.49911,                0.99805,             0.00061079,             0.00061079,             0.00061079
