,distance,width,height,diagonal
0,92.0,0.17857142857142858,0.16346153846153846,66.84309987
2,92.0,0.1744186046511628,0.16666666666666666,66.70832032
4,91.0,0.17857142857142858,0.16346153846153846,66.84309987
6,91.0,0.17857142857142858,0.16346153846153846,66.84309987
8,91.0,0.17857142857142858,0.16666666666666666,66.06814664
10,91.0,0.17857142857142858,0.16346153846153846,66.84309987
12,90.0,0.17857142857142858,0.16037735849056603,67.62396025
14,90.0,0.1744186046511628,0.16346153846153846,67.47592163
16,89.0,0.17045454545454544,0.1574074074074074,69.65629907
18,89.0,0.17045454545454544,0.15454545454545454,70.43436661
20,88.0,0.16666666666666666,0.1574074074074074,70.29224708
22,88.0,0.17045454545454544,0.15454545454545454,70.43436661
24,87.0,0.16666666666666666,0.15454545454545454,71.06335202
26,87.0,0.16304347826086957,0.14912280701754385,73.24616031
28,86.0,0.16666666666666666,0.14912280701754385,72.62231062
30,86.0,0.16304347826086957,0.14912280701754385,73.24616031
32,84.0,0.16666666666666666,0.15178571428571427,71.84010022
34,84.0,0.16304347826086957,0.14655172413793102,74.02702209
36,84.0,0.16304347826086957,0.14655172413793102,74.02702209
38,83.0,0.1595744680851064,0.14655172413793102,74.65252842
40,83.0,0.1595744680851064,0.1440677966101695,75.43208866
42,83.0,0.1595744680851064,0.14166666666666666,76.21679605
44,83.0,0.15625,0.1440677966101695,76.05918748
46,81.0,0.15306122448979592,0.1440677966101695,76.69419796
48,81.0,0.15625,0.14166666666666666,76.83749085
50,80.0,0.15306122448979592,0.1440677966101695,76.69419796
52,80.0,0.15306122448979592,0.13934426229508196,78.24321057
54,78.0,0.15306122448979592,0.14166666666666666,77.46612163
56,78.0,0.14705882352941177,0.13709677419354838,80.28075735
58,77.0,0.15,0.1349206349206349,80.43009387
60,77.0,0.15,0.1349206349206349,80.43009387
62,75.0,0.1388888888888889,0.13076923076923078,84.50443775
64,75.0,0.14150943396226415,0.13076923076923078,83.86894539
66,75.0,0.14423076923076922,0.1328125,82.46211251
68,75.0,0.15625,0.13709677419354838,78.40918314
70,75.0,0.14423076923076922,0.1328125,82.46211251
72,75.0,0.14423076923076922,0.13076923076923078,83.24061509
74,74.0,0.14423076923076922,0.13076923076923078,83.24061509
76,74.0,0.14150943396226415,0.13076923076923078,83.86894539
78,73.0,0.14150943396226415,0.12878787878787878,84.64632302
80,73.0,0.1388888888888889,0.13076923076923078,84.50443775
82,73.0,0.1388888888888889,0.12686567164179105,86.05230967
84,72.0,0.13636363636363635,0.12318840579710146,88.23831367
86,72.0,0.13636363636363635,0.12686567164179105,86.68333173
88,71.0,0.13636363636363635,0.12318840579710146,88.23831367
90,71.0,0.13392857142857142,0.125,88.09086218
92,70.0,0.13392857142857142,0.12318840579710146,88.86506625
94,70.0,0.13157894736842105,0.12318840579710146,89.49860334
96,68.0,0.13157894736842105,0.11971830985915492,91.04943712
98,68.0,0.12931034482758622,0.11971830985915492,91.67878708
100,67.0,0.12931034482758622,0.11805555555555555,92.45539465
102,67.0,0.1271186440677966,0.11643835616438356,93.86160024
104,67.0,0.12931034482758622,0.11643835616438356,93.23625904
106,63.0,0.12096774193548387,0.11038961038961038,98.85848471
108,63.0,0.12096774193548387,0.11038961038961038,98.85848471
110,63.0,0.12096774193548387,0.10897435897435898,99.63934966
112,62.0,0.11904761904761904,0.11038961038961038,99.48869282
114,62.0,0.11904761904761904,0.10897435897435898,100.2646498
116,61.0,0.1171875,0.10759493670886076,101.6710382
118,61.0,0.11538461538461539,0.10493827160493827,103.8556691
120,61.0,0.11538461538461539,0.10365853658536585,104.6374694
122,60.0,0.11194029850746269,0.10493827160493827,105.1189802
124,60.0,0.11194029850746269,0.10240963855421686,106.6677083
126,57.0,0.10714285714285714,0.1,110.1135777
128,57.0,0.1056338028169014,0.09883720930232558,111.5212984
130,57.0,0.10869565217391304,0.09883720930232558,110.2587865
132,57.0,0.10714285714285714,0.09883720930232558,110.8873302
134,57.0,0.10714285714285714,0.1,110.1135777
136,57.0,0.10714285714285714,0.1,110.1135777
138,57.0,0.10714285714285714,0.09883720930232558,110.8873302
140,57.0,0.10714285714285714,0.09883720930232558,110.8873302
