Have Passed,C to Chick,W,H,Diagonal
,,,,
0.51536,48.81713555,87,11.5,87.75676612
,,,,
0.52071,48.81713555,86,11.5,86.76548853
,,,,
0.52071,48.81713555,88,11.5,88.74823942
,,,,
0.52559,48.81713555,89,11.5,89.73990194
,,,,
0.53487,48.81713555,90,11.5,90.73174748
,,,,
0.54182,48.81713555,91,11.5,91.72377009
,,,,
0.54864,48.81713555,93,11.5,93.70832407
,,,,
0.57048,43.57876712,98,11.5,98.67243789
,,,,
0.57048,43.57876712,98,11.5,98.67243789
,,,,
0.56986,43.57876712,99,11.5,99.66569119
,,,,
0.5719,43.57876712,99,11.5,99.66569119
,,,,
0.57505,43.57876712,99,11.5,99.66569119
,,,,
0.57878,43.57876712,100,11.5,100.6590781
,,,,
0.57878,43.57876712,102,11.5,102.6462371
,,,,
0.588,43.57876712,101,11.5,101.6525947
,,,,
0.588,43.57876712,103,11.5,103.6400019
,,,,
0.61285,39.3556701,109,11.5,109.6049725
,,,,
0.61309,39.3556701,111,11.5,111.5941307
,,,,
0.61328,39.3556701,109,11.5,109.6049725
,,,,
0.61449,39.3556701,111,11.5,111.5941307
,,,,
0.61449,39.3556701,110,11.5,110.5995027
,,,,
0.61601,39.3556701,111,11.5,111.5941307
,,,,
0.61796,39.3556701,112,11.5,112.5888538
,,,,
0.62158,39.3556701,113,11.5,113.5836696
,,,,
0.62758,39.3556701,114,11.5,114.5785757
,,,,
0.63274,39.3556701,114,11.5,114.5785757
,,,,
0.65122,36.01415094,121,11.5,121.5452591
,,,,
0.65019,36.01415094,122,11.5,122.5408095
,,,,
0.65019,36.01415094,122,11.5,122.5408095
,,,,
0.65213,36.01415094,123,11.5,123.5364319
,,,,
0.65535,36.01415094,124,11.5,124.5321244
,,,,
0.66021,36.01415094,124,11.5,124.5321244
,,,,
0.66504,36.01415094,126,11.5,126.5237132
,,,,
0.67097,36.01415094,127,11.5,127.5196063
,,,,
0.67608,36.01415094,129,11.5,129.5115825
,,,,
0.69313,32.46173469,140,11.5,140.4715274
,,,,
0.69291,32.46173469,139,11.5,139.4749081
,,,,
0.6962,32.46173469,139,11.5,139.4749081
,,,,
0.70116,32.46173469,143,11.5,143.4616674
,,,,
0.70579,32.46173469,144,11.5,144.4584715
,,,,
0.71156,32.46173469,146,11.5,146.4522106
,,,,
0.72238,29.68506998,153,11.5,153.4315808
,,,,
0.72121,29.68506998,152,11.5,152.4344121
,,,,
0.72274,29.68506998,151,11.5,151.4372807
,,,,
0.72668,29.68506998,153,11.5,153.4315808
,,,,
0.73096,29.68506998,155,11.5,155.4260274
,,,,
0.73658,29.68506998,159,11.5,159.415338
,,,,
0.74163,29.68506998,161,11.5,161.4101917
,,,,
0.74831,29.68506998,162,11.5,162.4076661
,,,,
0.74482,26.99787836,166,11.5,166.3978666
,,,,
0.74275,26.99787836,161,11.5,161.4101917
,,,,
0.73944,28.53139013,161,11.5,161.4101917
,,,,
0.73935,28.53139013,161,11.5,161.4101917
,,,,
0.74347,28.53139013,162,11.5,162.4076661
,,,,
0.7485,28.53139013,165,11.5,165.4002721
,,,,
0.75491,28.53139013,168,11.5,168.3931412
,,,,
0.75491,28.53139013,170,11.5,170.3885266
,,,,
0.76999,26.11149111,180,11.5,180.366987
,,,,
0.77008,26.11149111,180,11.5,180.366987
,,,,
0.77008,26.11149111,181,11.5,181.3649635
,,,,
0.78391,26.11149111,187,11.5,187.3532759
,,,,
0.78391,26.11149111,188,11.5,188.3514003
,,,,
0.77874,25.28145695,186,11.5,186.3551716
,,,,
0.77874,25.28145695,185,11.5,185.3570878
,,,,
0.7764,25.28145695,180,11.5,180.366987
,,,,
0.7764,25.28145695,178,11.5,178.3711019
,,,,
0.76424,26.5472879,172,11.5,172.384019
,,,,
0.75536,26.5472879,162,11.5,162.4076661
,,,,
0.75242,27.98753666,163,11.5,163.4051713
,,,,
0.75234,27.98753666,164,11.5,164.4027068
,,,,
0.75313,27.98753666,165,11.5,165.4002721
,,,,
0.75642,27.98753666,166,11.5,166.3978666
,,,,
0.76244,27.98753666,171,11.5,171.3862597
,,,,
0.76826,27.98753666,173,11.5,173.3818041
,,,,
0.77436,27.98753666,177,11.5,177.3731941
,,,,
0.78626,25.6897712,185,11.5,185.3570878
,,,,
0.7861,25.6897712,185,11.5,185.3570878
,,,,
0.79474,25.6897712,187,11.5,187.3532759
,,,,
