distance,width,height,diagonal,,,
1,176,189,258.2576233,,,
,,,,,,
1,180,191,262.4519004,,,
,,,,,,
1,192,202,278.6897917,,,
,,,,,,
0,193,205,281.5563887,,,
,,,,,,
1,2,4,4.472135955,,,
,,,,,,
0,201,208,289.2490277,,,
,,,,,,
0,202,207,289.2282835,,,
,,,,,,
0,202,209,290.6630351,,,
,,,,,,
0,204,210,292.7729496,,,
,,,,,,
0,205,197,284.3132076,,,
,,,,,,
0,208,211,296.2853354,,,
,,,,,,
0,208,211,296.2853354,,,
,,,,,,
0,208,206,292.7456234,,,
,,,,,,
0,218,214,305.4832238,,,
,,,,,,
0,218,215,306.1845849,,,
,,,,,,
0,213,215,302.6450066,,,
,,,,,,
0,217,216,306.1780528,,,
,,,,,,
0,221,219,311.1301978,,,
,,,,,,
0,224,218,312.5699922,,,
,,,,,,
0,226,218,314.0063694,,,
