Have_passed,Distance(chick_cam),Width,Height,Diagonal,,Move
,,,,,,0
0.31107,73.6969112,56,68,88.09086218,,31.107
,,,,,,0
0.31764,73.6969112,57,68,88.72992731,,31.764
,,,,,,0
0.32214,73.6969112,57,69,89.49860334,,32.214
,,,,,,0
0.32214,73.6969112,57,69,89.49860334,,32.214
,,,,,,0
0.32781,73.6969112,58,69,90.13878189,,32.781
,,,,,,0
0.33467,73.6969112,59,70,91.54780172,,33.467
,,,,,,0
0.34053,73.6969112,59,72,93.08598176,,34.053
,,,,,,0
0.34584,73.6969112,59,70,91.54780172,,34.584
,,,,,,0
0.35236,73.6969112,60,72,93.72299611,,35.236
,,,,,,0
0.35883,73.6969112,60,72,93.72299611,,35.883
,,,,,,0
0.36536,73.6969112,61,73,95.13148795,,36.536
,,,,,,0
0.36536,73.6969112,62,74,96.54014709,,36.536
,,,,,,0
0.38136,73.6969112,62,75,97.30878686,,38.136
,,,,,,0
0.38136,73.6969112,63,76,98.71676656,,38.136
,,,,,,0
0.3877,73.6969112,63,76,98.71676656,,38.77
,,,,,,0
0.41064,65.36815068,66,79,102.9417311,,41.064
,,,,,,0
0.41006,65.36815068,66,78,102.1763182,,41.006
,,,,,,0
0.41075,65.36815068,66,78,102.1763182,,41.075
,,,,,,0
0.41512,65.36815068,66,79,102.9417311,,41.512
,,,,,,0
0.41512,65.36815068,66,80,103.7111373,,41.512
,,,,,,0
0.4193,65.36815068,66,80,103.7111373,,41.93
,,,,,,0
0.42424,65.36815068,67,80,104.3503713,,42.424
,,,,,,0
0.42971,65.36815068,68,82,106.5269919,,42.971
,,,,,,0
0.43473,65.36815068,69,82,107.1680923,,43.473
,,,,,,0
0.44013,65.36815068,69,83,107.9351657,,44.013
,,,,,,0
0.44584,65.36815068,69,84,108.7060256,,44.584
,,,,,,0
0.46154,65.36815068,72,86,112.1605991,,46.154
,,,,,,0
0.46154,65.36815068,72,85,111.3956911,,46.154
,,,,,,0
0.46188,65.36815068,72,86,112.1605991,,46.188
,,,,,,0
0.46515,65.36815068,71,86,111.5212984,,46.515
,,,,,,0
0.46515,65.36815068,73,87,113.5693621,,46.515
,,,,,,0
0.4695,65.36815068,74,87,114.2147101,,46.95
,,,,,,0
0.49419,55.81140351,77,91,119.2057046,,49.419
,,,,,,0
0.49432,55.81140351,77,91,119.2057046,,49.432
,,,,,,0
0.49719,55.81140351,77,92,119.9708298,,49.719
,,,,,,0
0.50039,55.81140351,77,91,119.2057046,,50.039
,,,,,,0
0.50596,55.81140351,78,93,121.3795699,,50.596
,,,,,,0
0.51122,55.81140351,79,94,122.7884359,,51.122
,,,,,,0
0.52143,55.81140351,80,95,124.1974235,,52.143
,,,,,,0
0.52294,55.81140351,81,96,125.6065285,,52.294
,,,,,,0
0.52534,55.81140351,81,97,126.3724654,,52.534
,,,,,,0
0.53025,55.81140351,82,97,127.0157471,,53.025
,,,,,,0
0.53025,55.81140351,83,98,128.4250754,,53.025
,,,,,,0
0.5355,55.81140351,83,99,129.1897829,,53.55
,,,,,,0
0.5407,55.81140351,86,101,132.6536845,,54.07
,,,,,,0
0.56481,48.81713555,88,104,136.2350909,,56.481
,,,,,,0
0.5649,48.81713555,89,104,136.8831619,,56.49
,,,,,,0
0.56729,48.81713555,88,105,137,,56.729
,,,,,,0
0.57065,48.81713555,89,104,136.8831619,,57.065
,,,,,,0
0.57686,48.81713555,90,105,138.2931669,,57.686
,,,,,,0
0.57686,48.81713555,91,106,139.7032569,,57.686
,,,,,,0
0.58224,48.81713555,92,108,141.8731828,,58.224
,,,,,,0
0.59142,48.81713555,92,109,142.6359001,,59.142
,,,,,,0
0.59849,48.81713555,95,110,145.3444185,,59.849
,,,,,,0
0.6054,48.81713555,96,111,146.7548977,,60.54
,,,,,,0
0.62815,43.57876712,101,117,154.5639026,,62.815
,,,,,,0
0.62794,43.57876712,102,119,156.7322558,,62.794
,,,,,,0
0.62844,43.57876712,102,117,155.2191998,,62.844
,,,,,,0
0.62844,43.57876712,102,118,155.9743569,,62.844
,,,,,,0
0.62934,43.57876712,102,119,156.7322558,,62.934
,,,,,,0
0.63121,43.57876712,102,119,156.7322558,,63.121
,,,,,,0
0.63474,43.57876712,103,120,158.1423409,,63.474
,,,,,,0
0.64002,43.57876712,104,122,160.3121954,,64.002
,,,,,,0
0.64917,43.57876712,107,123,163.027605,,64.917
,,,,,,0
0.65675,43.57876712,109,125,165.8493292,,65.675
,,,,,,0
0.66298,43.57876712,110,128,168.7720356,,66.298
,,,,,,0
0.68079,39.3556701,116,131,174.9771414,,68.079
,,,,,,0
0.68159,39.3556701,117,132,176.3887752,,68.159
,,,,,,0
0.68253,39.3556701,118,133,177.8004499,,68.253
,,,,,,0
0.68515,39.3556701,118,133,177.8004499,,68.515
,,,,,,0
0.68515,39.3556701,119,133,178.465683,,68.515
,,,,,,0
0.68891,39.3556701,119,135,179.9611069,,68.891
,,,,,,0
0.69225,39.3556701,121,137,182.7840256,,69.225
,,,,,,0
0.69507,39.3556701,121,137,182.7840256,,69.507
,,,,,,0
0.69878,39.3556701,122,138,184.1955483,,69.878
,,,,,,0
0.71482,36.01415094,129,144,193.3313218,,71.482
,,,,,,0
0.71217,36.01415094,128,144,192.6655133,,71.217
,,,,,,0
0.71217,36.01415094,128,143,191.9192539,,71.217
,,,,,,0
0.71415,36.01415094,128,144,192.6655133,,71.415
,,,,,,0
0.7167,36.01415094,128,146,194.1648784,,71.67
,,,,,,0
0.72251,36.01415094,130,145,194.7434209,,72.251
,,,,,,0
0.72765,36.01415094,133,149,199.7248107,,72.765
,,,,,,0
0.73369,36.01415094,134,149,200.3921156,,73.369
,,,,,,0
0.74081,36.01415094,137,153,205.3728317,,74.081
,,,,,,0
0.7576,31.70681063,145,158,214.4504605,,75.76
,,,,,,0
0.75756,31.70681063,146,159,215.8633827,,75.756
,,,,,,0
0.75389,31.70681063,142,158,212.433519,,75.389
,,,,,,0
0.75274,31.70681063,143,158,213.1032614,,75.274
,,,,,,0
0.75232,31.70681063,141,158,211.7663807,,75.232
,,,,,,0
0.75438,31.70681063,143,159,213.8457388,,75.438
,,,,,,0
0.76209,31.70681063,144,161,216.0023148,,76.209
,,,,,,0
0.77405,30.9862013,154,167,227.1673392,,77.405
,,,,,,0
0.77353,30.9862013,153,168,227.2289594,,77.353
,,,,,,0
0.77488,30.9862013,152,168,226.5568361,,77.488
,,,,,,0
0.77329,30.9862013,151,167,225.1443981,,77.329
,,,,,,0
0.77823,30.34578696,156,170,230.7292786,,77.823
,,,,,,0
0.7771,30.34578696,153,169,227.9692962,,77.71
,,,,,,0
0.77788,30.9862013,154,169,228.641641,,77.788
,,,,,,0
0.77904,30.9862013,154,169,228.641641,,77.904
,,,,,,0
0.78573,30.9862013,157,173,233.6193485,,78.573
,,,,,,0
0.78573,30.9862013,158,173,234.2925522,,78.573
,,,,,,0
0.78731,30.9862013,158,173,234.2925522,,78.731
,,,,,,0
0.78918,30.9862013,160,174,236.3810483,,78.918
,,,,,,0
0.79451,30.9862013,163,177,240.6200324,,79.451
,,,,,,0
0.80428,28.53139013,169,180,246.9028149,,80.428
,,,,,,0
0.79938,29.68506998,165,178,242.7117632,,79.938
,,,,,,0
0.80042,29.68506998,165,177,241.979338,,80.042
,,,,,,0
0.80042,29.68506998,167,180,245.5381844,,80.042
,,,,,,0
0.81269,29.68506998,170,181,248.3163305,,81.269
,,,,,,0
0.81269,29.68506998,173,185,253.2863992,,81.269
,,,,,,0
0.83875,26.5472879,190,196,272.9761894,,83.875
,,,,,,0
0.83862,26.5472879,192,196,274.3720102,,83.862
,,,,,,0
0.84807,26.5472879,197,200,280.7294071,,84.807
,,,,,,0
0.8505,26.5472879,198,201,282.1435805,,85.05
,,,,,,0
0.85347,26.5472879,201,203,285.6746401,,85.347
,,,,,,0
0.85902,25.28145695,205,205,289.9137803,,85.902
,,,,,,0
0.85902,25.28145695,206,205,290.6217473,,85.902
,,,,,,0
0.86095,25.28145695,208,206,292.7456234,,86.095
,,,,,,0
0.86095,25.28145695,209,209,295.5706345,,86.095
,,,,,,0
0.86632,25.28145695,216,211,301.9552947,,86.632
